Decomposition Temperature (°C),Passivation Current Density (A/m²)
2,-3.218220517963422,0.52% Ag
4,-2.4886564966111298,0.52% Ag
8,-2.466528131009893,0.52% Ag
14,-3.249097861486193,0.52% Ag
2,5.497258754464874,0.32% Ag
4,5.1844762686527535,0.32% Ag
8,4.998125857960021,0.32% Ag
14,4.911154626273176,0.32% Ag
2,0.8864844807112028,1.0% Ag
4,0.47798668100397546,1.0% Ag
8,0.2564418600785744,1.0% Ag
14,0.1818260342911147,1.0% Ag
2,6.576623554598465,0.46% Ag
4,6.30565544828232,0.46% Ag
8,6.042577029710839,0.46% Ag
14,5.969879575600092,0.46% Ag
