Particle Size (nm),Bond Strength (MPa)
2.3721136109552865,0.9428247274463135,single-walled CNT/silicone
4.451563088652257,0.7644486519420521,single-walled CNT/silicone
8.939681783612448,0.5503710020307736,single-walled CNT/silicone
10.12608890306302,0.5370380475934089,single-walled CNT/silicone
17.686989811496442,0.4918509689690222,single-walled CNT/silicone
2.3721136109552865,0.35980223497709707,TPP/silicone
4.451563088652257,0.7525790237926815,TPP/silicone
8.939681783612448,2.772605521895376,TPP/silicone
10.12608890306302,1.6448305762835815,TPP/silicone
17.686989811496442,-4.482713468342631,TPP/silicone
2.3721136109552865,-2.883454354778939,GO/silicone
4.451563088652257,-0.7143820771157956,GO/silicone
8.939681783612448,0.8272251500774068,GO/silicone
10.12608890306302,17.901581671834,GO/silicone
17.686989811496442,612.1463817654974,GO/silicone
