Stirring Speed (rpm),Porosity (%)
2.145592757818613,0.8117135101907678,0.12% CuPP/Nylon 6-6
6.569042150099509,1.7653818224345357,0.12% CuPP/Nylon 6-6
11.07278270657673,2.707184980810515,0.12% CuPP/Nylon 6-6
11.705523758105015,-0.5169729602023647,0.12% CuPP/Nylon 6-6
15.377728051344121,10.243959090239883,0.12% CuPP/Nylon 6-6
2,5.014544903185116,0.12% CuPP/Nylon 6-6
4,6.50951405831882,0.12% CuPP/Nylon 6-6
7,8.744422478791924,0.12% CuPP/Nylon 6-6
12,44.394413091615746,0.12% CuPP/Nylon 6-6
14,144.63406520817625,0.12% CuPP/Nylon 6-6
1.1807055835502234,-5.163013255203783,0.45% CuPP/Nylon 6-6
3.7063806789625597,-5.495199505796582,0.45% CuPP/Nylon 6-6
10.049618356660213,-5.766024005397858,0.45% CuPP/Nylon 6-6
15.189112027950578,-5.807497583392959,0.45% CuPP/Nylon 6-6
16.917565808318987,-5.811832914531383,0.45% CuPP/Nylon 6-6
