Holding Time (min),Thermal Stability (°C)
3.538173472737922,-6.672706253762225,0.32% TiO2
11.867375377988779,-6.984533530570786,0.32% TiO2
13.933003698519775,-6.9993105747349125,0.32% TiO2
14.672895294830973,-7.001538009095111,0.32% TiO2
3.538173472737922,8.458677925459051,0.19% TiO2
11.867375377988779,7.4882715318876825,0.19% TiO2
13.933003698519775,6.700730406548667,0.19% TiO2
14.672895294830973,11.339139849490941,0.19% TiO2
3.538173472737922,2.839127670788678,0.9% TiO2
11.867375377988779,28.825096480235082,0.9% TiO2
13.933003698519775,-41.172983286251366,0.9% TiO2
14.672895294830973,229.83530565552735,0.9% TiO2
