Holding Time (min),Heat Of Crystallization (J/g)
5,1.6299007242260513,0.74% OMMT/P4VP
6,1.8887674517858368,0.74% OMMT/P4VP
9,1.0133325529449848,0.74% OMMT/P4VP
13,3.9904941276074712,0.74% OMMT/P4VP
16,5.480357459485841,0.74% OMMT/P4VP
9.200653007617998,16.033621963242428,0.1% OMMT/P4VP
10.62614283004287,15.688944863430134,0.1% OMMT/P4VP
12.693009653269996,55.296768767654605,0.1% OMMT/P4VP
13.001508532175608,41.711272239390425,0.1% OMMT/P4VP
19.589689994946685,129.14985402947474,0.1% OMMT/P4VP
3,7.38337163421412,0.99% OMMT/P4VP
8,26.513594196169613,0.99% OMMT/P4VP
10,12.532223791912633,0.99% OMMT/P4VP
13,11.672006097161443,0.99% OMMT/P4VP
17,109.56294718018617,0.99% OMMT/P4VP
1,0.7334017379815279,0.82% OMMT/P4VP
7,7.905651397510255,0.82% OMMT/P4VP
11,18.63748917620229,0.82% OMMT/P4VP
18,429.86717716885715,0.82% OMMT/P4VP
19,239.19133521266784,0.82% OMMT/P4VP
2,6.063557808212283,0.07% OMMT/P4VP
6,6.925610485941826,0.07% OMMT/P4VP
8,6.625278712527737,0.07% OMMT/P4VP
10,6.652970870458649,0.07% OMMT/P4VP
16,4.076499664048285,0.07% OMMT/P4VP
