Time (s),Magnetization (A/m)
0.4188227541631018,6.653575669976647,carbon nanofibers/S-EB-S
3.304908452126214,7.507467586871739,carbon nanofibers/S-EB-S
6.386377325705341,13.268398862178016,carbon nanofibers/S-EB-S
7.397183799292781,19.370298559487313,carbon nanofibers/S-EB-S
14.197093192496196,139.847288865718,carbon nanofibers/S-EB-S
19.133585961770063,447.6514377706805,carbon nanofibers/S-EB-S
0.4188227541631018,3.665785750058993,silica nanoparticles/S-EB-S
3.304908452126214,3.264035181303547,silica nanoparticles/S-EB-S
6.386377325705341,2.9385505040811735,silica nanoparticles/S-EB-S
7.397183799292781,2.943023531517232,silica nanoparticles/S-EB-S
14.197093192496196,2.761631825092206,silica nanoparticles/S-EB-S
19.133585961770063,2.6721098631841453,silica nanoparticles/S-EB-S
0.4188227541631018,7.564031719158788,CaCu3Ti4O12/S-EB-S
3.304908452126214,7.53992794858116,CaCu3Ti4O12/S-EB-S
6.386377325705341,7.305199781594771,CaCu3Ti4O12/S-EB-S
7.397183799292781,7.172044864261939,CaCu3Ti4O12/S-EB-S
14.197093192496196,7.006392312845956,CaCu3Ti4O12/S-EB-S
19.133585961770063,6.903546694974125,CaCu3Ti4O12/S-EB-S
0.4188227541631018,-2.1049550930037713,Magnesium oxide/S-EB-S
3.304908452126214,-2.260995677021443,Magnesium oxide/S-EB-S
6.386377325705341,-0.6311533181563798,Magnesium oxide/S-EB-S
7.397183799292781,-1.836886079899043,Magnesium oxide/S-EB-S
14.197093192496196,-2.0061670785050785,Magnesium oxide/S-EB-S
19.133585961770063,10.990973068736093,Magnesium oxide/S-EB-S
0.4188227541631018,8.60582995314182,silica gel/S-EB-S
3.304908452126214,11.21840654857753,silica gel/S-EB-S
6.386377325705341,13.42190214286006,silica gel/S-EB-S
7.397183799292781,24.477410068657832,silica gel/S-EB-S
14.197093192496196,75.76784639183717,silica gel/S-EB-S
19.133585961770063,-65.4453771808798,silica gel/S-EB-S
