Pore Size (nm),Thermal Stability (°C)
4,7.145487362976428,Poly(butyl acrylate)
7,9.596714460471045,Poly(butyl acrylate)
11,37.12525902100206,Poly(butyl acrylate)
14,85.9153403586476,Poly(butyl acrylate)
19,43.63196641067845,Poly(butyl acrylate)
4,11.2166090964916,PA 6
7,5.922337030347444,PA 6
11,44.64093524323428,PA 6
14,66.91919779827857,PA 6
19,-52.61695289316846,PA 6
4,-3.3801476388991314,Nylon 11
7,-3.5502860436855075,Nylon 11
11,-3.7326249607968225,Nylon 11
14,-3.8031913263558,Nylon 11
19,-3.9015472225090324,Nylon 11
