Solvent Concentration (M),Compression Strength (MPa)
13.834932642219274,-7.461607393478569,0.15% graphite oxide
17.41687942252311,-7.532940162915604,0.15% graphite oxide
19.1370186825495,-7.555816666084214,0.15% graphite oxide
19.590128557279684,-7.570202217201046,0.15% graphite oxide
19.757165589812516,-7.56632042058049,0.15% graphite oxide
13.834932642219274,2.335909361248902,0.01% graphite oxide
17.41687942252311,8.924244346566715,0.01% graphite oxide
19.1370186825495,-4.361408783586231,0.01% graphite oxide
19.590128557279684,15.581655141082875,0.01% graphite oxide
19.757165589812516,4.5495136361734145,0.01% graphite oxide
13.834932642219274,-2.0414792081038637,0.56% graphite oxide
17.41687942252311,11.893531756707612,0.56% graphite oxide
19.1370186825495,-3.157378060672144,0.56% graphite oxide
19.590128557279684,2.7974966008946476,0.56% graphite oxide
19.757165589812516,9.985782623377775,0.56% graphite oxide
13.834932642219274,1.3547681527831086,0.93% graphite oxide
17.41687942252311,1.2874880028825313,0.93% graphite oxide
19.1370186825495,1.2738681212387464,0.93% graphite oxide
19.590128557279684,1.2584836411164064,0.93% graphite oxide
19.757165589812516,1.2577949872031384,0.93% graphite oxide
13.834932642219274,86.6817365710059,0.36% graphite oxide
17.41687942252311,413.5942010221511,0.36% graphite oxide
19.1370186825495,805.8149916437885,0.36% graphite oxide
19.590128557279684,-340.7086569248895,0.36% graphite oxide
19.757165589812516,1083.4520167413243,0.36% graphite oxide
