Crystallinity (%),Intrinsic Viscosity (dl/g)
0.7068098211137741,4.583774699026077,TiO2/UPR
1.5042489997489406,4.620596416183801,TiO2/UPR
4.951761337110982,4.746325264654129,TiO2/UPR
13.897734009761049,15.448449409057245,TiO2/UPR
16.384259397584675,5.132335508361929,TiO2/UPR
0.7068098211137741,5.533929442877714,octyldimethylmethoxysilane/UPR
1.5042489997489406,5.80298239927133,octyldimethylmethoxysilane/UPR
4.951761337110982,5.611018088188484,octyldimethylmethoxysilane/UPR
13.897734009761049,6.944907248376838,octyldimethylmethoxysilane/UPR
16.384259397584675,12.972910610655175,octyldimethylmethoxysilane/UPR
0.7068098211137741,-2.6436062483685934,Cu(HO3PC6H5)2/UPR
1.5042489997489406,-2.618367860499853,Cu(HO3PC6H5)2/UPR
4.951761337110982,-2.938546932093396,Cu(HO3PC6H5)2/UPR
13.897734009761049,-3.29042632750664,Cu(HO3PC6H5)2/UPR
16.384259397584675,-3.3408529845310615,Cu(HO3PC6H5)2/UPR
0.7068098211137741,0.02443723266065423,silver/UPR
1.5042489997489406,0.10094006354650598,silver/UPR
4.951761337110982,-0.4428068278174553,silver/UPR
13.897734009761049,-0.6824174464782689,silver/UPR
16.384259397584675,-0.690848170571873,silver/UPR
