Aging Time (h),Thermal Expansion (1/K)
0,3.8588719755206,0.27% Reduced graphene oxide/Poly(ethylene-vinyl acetate)
1,3.582479194856859,0.27% Reduced graphene oxide/Poly(ethylene-vinyl acetate)
9,2.99948080267474,0.27% Reduced graphene oxide/Poly(ethylene-vinyl acetate)
15,2.953989159644999,0.27% Reduced graphene oxide/Poly(ethylene-vinyl acetate)
19,2.9469855424210807,0.27% Reduced graphene oxide/Poly(ethylene-vinyl acetate)
0,3.669849843087984,0.53% Reduced graphene oxide/Poly(ethylene-vinyl acetate)
1,3.4106647108455843,0.53% Reduced graphene oxide/Poly(ethylene-vinyl acetate)
9,3.238762638643119,0.53% Reduced graphene oxide/Poly(ethylene-vinyl acetate)
15,3.0086409191673327,0.53% Reduced graphene oxide/Poly(ethylene-vinyl acetate)
19,2.9231927286521513,0.53% Reduced graphene oxide/Poly(ethylene-vinyl acetate)
0,2.98570455702556,0.41% Reduced graphene oxide/Poly(ethylene-vinyl acetate)
1,3.179861789645247,0.41% Reduced graphene oxide/Poly(ethylene-vinyl acetate)
9,2.5572510950730223,0.41% Reduced graphene oxide/Poly(ethylene-vinyl acetate)
15,2.343599767951799,0.41% Reduced graphene oxide/Poly(ethylene-vinyl acetate)
19,2.267162991480326,0.41% Reduced graphene oxide/Poly(ethylene-vinyl acetate)
0,-5.044719067208215,0.29% Reduced graphene oxide/Poly(ethylene-vinyl acetate)
1,-4.869308238795558,0.29% Reduced graphene oxide/Poly(ethylene-vinyl acetate)
9,-5.208324319863959,0.29% Reduced graphene oxide/Poly(ethylene-vinyl acetate)
15,-5.411970884073963,0.29% Reduced graphene oxide/Poly(ethylene-vinyl acetate)
19,-5.474108096378913,0.29% Reduced graphene oxide/Poly(ethylene-vinyl acetate)
0,1.1238502301924802,0.91% Reduced graphene oxide/Poly(ethylene-vinyl acetate)
1,0.9180105286397845,0.91% Reduced graphene oxide/Poly(ethylene-vinyl acetate)
9,0.35047616049682007,0.91% Reduced graphene oxide/Poly(ethylene-vinyl acetate)
15,0.301959697480761,0.91% Reduced graphene oxide/Poly(ethylene-vinyl acetate)
19,0.2939290191711794,0.91% Reduced graphene oxide/Poly(ethylene-vinyl acetate)
