Storage Time (days),Pore Size (nm)
1.5051643848405671,-2.9556945171866382,White spirits/Poly(glycidyl methacrylate)
1.9581565553269953,-3.249375546352482,White spirits/Poly(glycidyl methacrylate)
7.818021270977614,-1.811670114727137,White spirits/Poly(glycidyl methacrylate)
10.284288657278136,-2.594905310570181,White spirits/Poly(glycidyl methacrylate)
1.5051643848405671,2.4908640967677664,Synthetic fluorine mica/Poly(glycidyl methacrylate)
1.9581565553269953,2.332510000064805,Synthetic fluorine mica/Poly(glycidyl methacrylate)
7.818021270977614,1.8476716274918645,Synthetic fluorine mica/Poly(glycidyl methacrylate)
10.284288657278136,1.8042584286856882,Synthetic fluorine mica/Poly(glycidyl methacrylate)
1.5051643848405671,7.87554970399834,graphite/Poly(glycidyl methacrylate)
1.9581565553269953,8.025151437261975,graphite/Poly(glycidyl methacrylate)
7.818021270977614,7.308189919191571,graphite/Poly(glycidyl methacrylate)
10.284288657278136,7.201030084701987,graphite/Poly(glycidyl methacrylate)
1.5051643848405671,8.317673805617954,Barium Titanate/Poly(glycidyl methacrylate)
1.9581565553269953,8.746414232374093,Barium Titanate/Poly(glycidyl methacrylate)
7.818021270977614,19.683356971385113,Barium Titanate/Poly(glycidyl methacrylate)
10.284288657278136,47.21960509199128,Barium Titanate/Poly(glycidyl methacrylate)
1.5051643848405671,-1.6336952762993264,PbS/Poly(glycidyl methacrylate)
1.9581565553269953,-1.0302765683989699,PbS/Poly(glycidyl methacrylate)
7.818021270977614,0.3097560826163077,PbS/Poly(glycidyl methacrylate)
10.284288657278136,1.6892116525736771,PbS/Poly(glycidyl methacrylate)
