Drying Time (h),Corrosion Rate (mm/year)
2,6.203298066702282,TPP/Poly(hexafluoro propylene)
4,6.049096525852929,TPP/Poly(hexafluoro propylene)
9,5.772905725407145,TPP/Poly(hexafluoro propylene)
19,5.717015010025698,TPP/Poly(hexafluoro propylene)
2,8.243170539691532,SAF/Poly(hexafluoro propylene)
4,10.179260350361066,SAF/Poly(hexafluoro propylene)
9,13.442177862011802,SAF/Poly(hexafluoro propylene)
19,-218.99873628108904,SAF/Poly(hexafluoro propylene)
2,-2.0190565186040192, Graphite/Poly(hexafluoro propylene)
4,-2.2628206482167554, Graphite/Poly(hexafluoro propylene)
9,-2.4781203591839875, Graphite/Poly(hexafluoro propylene)
19,-2.543556052007028, Graphite/Poly(hexafluoro propylene)
2,6.92834276010883,cellulose nanowhiskers/Poly(hexafluoro propylene)
4,7.239184830159022,cellulose nanowhiskers/Poly(hexafluoro propylene)
9,7.93162469700658,cellulose nanowhiskers/Poly(hexafluoro propylene)
19,-4.364050826144256,cellulose nanowhiskers/Poly(hexafluoro propylene)
