Heat Treatment Temperature (°C),Flexural Modulus (GPa)
9,-3.817677495464725,0.07% cellulose nanocrystals
10,-0.834065706122133,0.07% cellulose nanocrystals
13,-3.0012421807005323,0.07% cellulose nanocrystals
9,24.746897047640736,0.86% cellulose nanocrystals
10,14.509851761238755,0.86% cellulose nanocrystals
13,42.141858170980875,0.86% cellulose nanocrystals
9,5.580313797091932,0.74% cellulose nanocrystals
10,2.709848056150942,0.74% cellulose nanocrystals
13,4.9501577184309475,0.74% cellulose nanocrystals
9,4.126873338478321,0.93% cellulose nanocrystals
10,3.990613126405304,0.93% cellulose nanocrystals
13,3.9838239931692145,0.93% cellulose nanocrystals
9,-5.8604331943048775,0.9% cellulose nanocrystals
10,-5.92367979697412,0.9% cellulose nanocrystals
13,-5.968732302468142,0.9% cellulose nanocrystals
