Curing Temperature (°C),Magnetization (A/m)
2.4972078312440726,-5.302328711011074,Colloidal silica/sPP
2.6812380714883255,-4.23909999001763,Colloidal silica/sPP
3.1658323997816096,-3.6295386675933363,Colloidal silica/sPP
3.317650761594153,-5.4924944376987055,Colloidal silica/sPP
5.958712009154727,1.6540590218265425,Colloidal silica/sPP
13.092205348189022,15.28140222799839,Colloidal silica/sPP
2.4972078312440726,-1.1249424737676155,Clay/sPP
2.6812380714883255,0.6361902162787549,Clay/sPP
3.1658323997816096,0.8194228270137685,Clay/sPP
3.317650761594153,-0.37127328519695224,Clay/sPP
5.958712009154727,6.561434833379829,Clay/sPP
13.092205348189022,42.035236379371916,Clay/sPP
2.4972078312440726,-4.725971521747108,Graphene/sPP
2.6812380714883255,-4.777453409405064,Graphene/sPP
3.1658323997816096,-4.584235387328824,Graphene/sPP
3.317650761594153,-4.687890289860884,Graphene/sPP
5.958712009154727,-4.78268905333512,Graphene/sPP
13.092205348189022,-5.124472272147487,Graphene/sPP
2.4972078312440726,2.2968444119528595,silica/sPP
2.6812380714883255,2.403495124303809,silica/sPP
3.1658323997816096,3.422472866202103,silica/sPP
3.317650761594153,2.3000521936227303,silica/sPP
5.958712009154727,8.241228803359272,silica/sPP
13.092205348189022,47.50155160583482,silica/sPP
2.4972078312440726,3.7247458549643016,Cellulose/sPP
2.6812380714883255,3.658320802442217,Cellulose/sPP
3.1658323997816096,3.6202791407860038,Cellulose/sPP
3.317650761594153,3.535024190552411,Cellulose/sPP
5.958712009154727,3.3325674643033567,Cellulose/sPP
13.092205348189022,3.1982076967712625,Cellulose/sPP
