Frequency (Hz),Electrochemical Potential (V)
0.5872476738893395,6.4939453180822415,0.8% Silicon carbide/Poly(acrylic acid)
5.106803300179095,8.768830996064064,0.8% Silicon carbide/Poly(acrylic acid)
16.50426950801867,117.2411304351794,0.8% Silicon carbide/Poly(acrylic acid)
0.5872476738893395,-3.351681098925305,0.05% Silicon carbide/Poly(acrylic acid)
5.106803300179095,-3.884082779271659,0.05% Silicon carbide/Poly(acrylic acid)
16.50426950801867,-4.092883253933728,0.05% Silicon carbide/Poly(acrylic acid)
0.5872476738893395,7.1178750372537625,0.0% Silicon carbide/Poly(acrylic acid)
5.106803300179095,6.232027646890389,0.0% Silicon carbide/Poly(acrylic acid)
16.50426950801867,6.0787170546992435,0.0% Silicon carbide/Poly(acrylic acid)
0.5872476738893395,-3.8586049204542077,0.39% Silicon carbide/Poly(acrylic acid)
5.106803300179095,-2.628738845253408,0.39% Silicon carbide/Poly(acrylic acid)
16.50426950801867,9.57002995864038,0.39% Silicon carbide/Poly(acrylic acid)
0.5872476738893395,7.0878360069466115,0.87% Silicon carbide/Poly(acrylic acid)
5.106803300179095,10.35490083725614,0.87% Silicon carbide/Poly(acrylic acid)
16.50426950801867,178.6870759705878,0.87% Silicon carbide/Poly(acrylic acid)
