Thermal Conductivity (W/(m·K)),Degradation Temperature (°C)
1.4929767472571176,1.8665980378895655,0.79% cellulose nanocrystals/DGEBD
4.817251177598423,1.5138904907042785,0.79% cellulose nanocrystals/DGEBD
6.740159077385377,1.581740847919826,0.79% cellulose nanocrystals/DGEBD
14.136006410094534,1.2236289144604604,0.79% cellulose nanocrystals/DGEBD
18.771459207337188,1.1259228757512072,0.79% cellulose nanocrystals/DGEBD
1.4929767472571176,0.9284705138607718,0.11% cellulose nanocrystals/DGEBD
4.817251177598423,0.43071587487672747,0.11% cellulose nanocrystals/DGEBD
6.740159077385377,0.3829812945448485,0.11% cellulose nanocrystals/DGEBD
14.136006410094534,0.0644148506214593,0.11% cellulose nanocrystals/DGEBD
18.771459207337188,-0.03578691410615964,0.11% cellulose nanocrystals/DGEBD
1.4929767472571176,6.203219058953973,0.17% cellulose nanocrystals/DGEBD
4.817251177598423,5.706736412632189,0.17% cellulose nanocrystals/DGEBD
6.740159077385377,5.597378686178937,0.17% cellulose nanocrystals/DGEBD
14.136006410094534,5.478722370326979,0.17% cellulose nanocrystals/DGEBD
18.771459207337188,5.467666393095431,0.17% cellulose nanocrystals/DGEBD
1.4929767472571176,7.11547065070798,0.75% cellulose nanocrystals/DGEBD
4.817251177598423,8.964008679411583,0.75% cellulose nanocrystals/DGEBD
6.740159077385377,9.72869709681617,0.75% cellulose nanocrystals/DGEBD
14.136006410094534,4.503834960298164,0.75% cellulose nanocrystals/DGEBD
18.771459207337188,-5.800652247945546,0.75% cellulose nanocrystals/DGEBD
