Nanoparticle Mass (%),Glass Transition Temperature (°C)
0,-2.665503155337534,multi-wall carbon nanotubes/PLA
3,-2.92989095013785,multi-wall carbon nanotubes/PLA
11,-3.2418428635948673,multi-wall carbon nanotubes/PLA
13,-3.3063761374476535,multi-wall carbon nanotubes/PLA
15,-3.325653662771293,multi-wall carbon nanotubes/PLA
16,-3.344687680059346,multi-wall carbon nanotubes/PLA
0,2.573130374310125,Calcium carbonate/PLA
3,2.306988730485648,Calcium carbonate/PLA
11,1.8494327327868054,Calcium carbonate/PLA
13,1.7915352182183013,Calcium carbonate/PLA
15,1.761084447203338,Calcium carbonate/PLA
16,1.730911762503594,Calcium carbonate/PLA
0,-1.0652860261558188,carbon nanotube/PLA
3,0.9101754497173458,carbon nanotube/PLA
11,5.486908490100767,carbon nanotube/PLA
13,97.00553914743666,carbon nanotube/PLA
15,103.80448857719935,carbon nanotube/PLA
16,233.57555667909241,carbon nanotube/PLA
