Heat Treatment Time (h),Crystallinity (%)
12.253436957969924,7.246788450862311,0.09% Fe3O4/PAN
13.99792427594255,12.59040240273251,0.09% Fe3O4/PAN
14.62992788309488,13.56137718166813,0.09% Fe3O4/PAN
15.328169834116775,10.19579030844114,0.09% Fe3O4/PAN
12.253436957969924,5.6464806997955375,0.71% Fe3O4/PAN
13.99792427594255,5.6359406276892114,0.71% Fe3O4/PAN
14.62992788309488,5.6331667298594335,0.71% Fe3O4/PAN
15.328169834116775,5.630004355087478,0.71% Fe3O4/PAN
12.253436957969924,-3.1030870687152348,0.83% Fe3O4/PAN
13.99792427594255,64.75075161585126,0.83% Fe3O4/PAN
14.62992788309488,101.49250534939885,0.83% Fe3O4/PAN
15.328169834116775,-62.655930313359725,0.83% Fe3O4/PAN
12.253436957969924,-2.6086572165917676,0.78% Fe3O4/PAN
13.99792427594255,-2.6578375742018068,0.78% Fe3O4/PAN
14.62992788309488,-2.670972149447668,0.78% Fe3O4/PAN
15.328169834116775,-2.683709161063448,0.78% Fe3O4/PAN
12.253436957969924,-4.609996629776912,0.62% Fe3O4/PAN
13.99792427594255,-4.338201681469844,0.62% Fe3O4/PAN
14.62992788309488,-3.1101048157378814,0.62% Fe3O4/PAN
15.328169834116775,-1.8785432812736218,0.62% Fe3O4/PAN
