Curing Temperature (°C),Bet Surface Area
8,15.78121107126849,0.2% Calcium carbonate/BECy
14,113.35314661870451,0.2% Calcium carbonate/BECy
15,-46.39698506085075,0.2% Calcium carbonate/BECy
17,80.80877652174019,0.2% Calcium carbonate/BECy
19,1294.3892826544288,0.2% Calcium carbonate/BECy
2.00554305858597,1.8921404352992233,0.75% Calcium carbonate/BECy
5.461163417742759,1.4033727326374537,0.75% Calcium carbonate/BECy
7.2126366739276815,1.4353546628199472,0.75% Calcium carbonate/BECy
8.112051204676593,1.2485167059010198,0.75% Calcium carbonate/BECy
19.119159221095575,1.0161836373532291,0.75% Calcium carbonate/BECy
