Shear Rate (1/s),Electric Field Strength (V/m)
0,0.9389344459392313,0.71% talc/Poly(bisphenol A carbonate)
6,8.555353750188962,0.71% talc/Poly(bisphenol A carbonate)
8,10.097496019528073,0.71% talc/Poly(bisphenol A carbonate)
9,16.255055570328437,0.71% talc/Poly(bisphenol A carbonate)
13,47.221000464912684,0.71% talc/Poly(bisphenol A carbonate)
19,688.3127421712674,0.71% talc/Poly(bisphenol A carbonate)
0,6.486290115949075,0.61% talc/Poly(bisphenol A carbonate)
6,6.151846698402835,0.61% talc/Poly(bisphenol A carbonate)
8,6.082075745856781,0.61% talc/Poly(bisphenol A carbonate)
9,6.071882359334601,0.61% talc/Poly(bisphenol A carbonate)
13,5.895788175088021,0.61% talc/Poly(bisphenol A carbonate)
19,5.762206854360091,0.61% talc/Poly(bisphenol A carbonate)
0,-3.5959961704775725,0.79% talc/Poly(bisphenol A carbonate)
6,1.177392657802673,0.79% talc/Poly(bisphenol A carbonate)
8,-2.961035798434395,0.79% talc/Poly(bisphenol A carbonate)
9,14.61903015889913,0.79% talc/Poly(bisphenol A carbonate)
13,49.007672169422044,0.79% talc/Poly(bisphenol A carbonate)
19,492.2544834856477,0.79% talc/Poly(bisphenol A carbonate)
