Crosslinking Density (mol/m³),Magnetization (A/m)
13.493133929593728,79.84656982619907,0.62% rGO/PEVA
13.75042383559605,10.820292438384042,0.62% rGO/PEVA
17.525978673370012,279.26873567725033,0.62% rGO/PEVA
19.23413267802478,143.22567052626263,0.62% rGO/PEVA
13.493133929593728,1.9315464184000237,0.91% rGO/PEVA
13.75042383559605,1.9289259827185437,0.91% rGO/PEVA
17.525978673370012,1.9194239189485742,0.91% rGO/PEVA
19.23413267802478,1.9172832723637592,0.91% rGO/PEVA
13.493133929593728,2.3993528625056433,0.09% rGO/PEVA
13.75042383559605,0.48369354639257667,0.09% rGO/PEVA
17.525978673370012,5.924391336089812,0.09% rGO/PEVA
19.23413267802478,14.187455960348649,0.09% rGO/PEVA
