Coefficient Of Thermal Expansion (1/K),Conductivity (S/m)
0.6351887701468639,4.453093506395247,magnesium oxide/PA 66
17.893290326554578,3.8318724593352953,magnesium oxide/PA 66
18.658776052288626,3.830942418788942,magnesium oxide/PA 66
18.85918274064982,3.8307460543244454,magnesium oxide/PA 66
0.6351887701468639,6.829273502277558,Fe3O4/PA 66
17.893290326554578,6.0650597422844,Fe3O4/PA 66
18.658776052288626,6.058958471415921,Fe3O4/PA 66
18.85918274064982,6.0556085576370755,Fe3O4/PA 66
0.6351887701468639,0.7251246079490132,Zinc Oxide/PA 66
17.893290326554578,9.290575205854386,Zinc Oxide/PA 66
18.658776052288626,0.447885616515201,Zinc Oxide/PA 66
18.85918274064982,18.305217869907352,Zinc Oxide/PA 66
