Melting Temperature (°C),Charge Transfer Resistance (Ω·m²)
0,6.486786418925082,OFG/PC
4,9.434941705254959,OFG/PC
6,12.309832088369273,OFG/PC
8,14.168296070032552,OFG/PC
18,298.94667334522023,OFG/PC
0,4.829823696409726,Fluorine mica/PC
4,8.470743899207335,Fluorine mica/PC
6,11.619533203642774,Fluorine mica/PC
8,12.93835775438442,Fluorine mica/PC
18,-86.25775160943859,Fluorine mica/PC
0,8.269314593853622,silica gel/PC
4,8.260945494995248,silica gel/PC
6,8.223807571993959,silica gel/PC
8,8.13387169208701,silica gel/PC
18,7.810252233434868,silica gel/PC
