Storage Time (days),Dynamic Viscosity (Pa·s)
11,2.599050262369966,0.07% ZrO2
12,2.5893574836091036,0.07% ZrO2
13,2.5827193102255124,0.07% ZrO2
19,2.564972526389326,0.07% ZrO2
2.471703303211723,1.6290588225292484,0.58% ZrO2
2.8817627776103483,1.4370233157577412,0.58% ZrO2
4.003356807118205,1.4341246979789486,0.58% ZrO2
13.695125871073497,1.1505805829153246,0.58% ZrO2
5,-1.14359936303563,0.07% ZrO2
7,9.186920887825524,0.07% ZrO2
17,187.65152141421729,0.07% ZrO2
19,552.3562485520058,0.07% ZrO2
2,-2.898832184295404,0.25% ZrO2
5,-3.183971907167742,0.25% ZrO2
15,-3.4387580938367655,0.25% ZrO2
18,-3.4446186981368623,0.25% ZrO2
1,-6.454052860521406,0.2% ZrO2
3,-4.994699197880733,0.2% ZrO2
7,-0.3140530829520678,0.2% ZrO2
11,5.601066578528311,0.2% ZrO2
