Annealing Temperature (°C),Galvanic Potential (V)
1.8124492399740788,6.908626459455084,
3.4084762307566474,7.998751842840946,
3.7422743418484594,8.688646032188224,
5.749448635117758,11.311252055115155,
15.497273393541883,15.251026166507403,
19.943162084339654,-1125.5448635391585,
1.8124492399740788,2.5506159106486184,
3.4084762307566474,2.5154578861977726,
3.7422743418484594,2.6533659240239467,
5.749448635117758,2.5439621610384884,
15.497273393541883,2.142134069582372,
19.943162084339654,2.059339465768371,
1.8124492399740788,-1.3665725462298908,
3.4084762307566474,-0.4260855233272829,
3.7422743418484594,-0.3704445101128484,
5.749448635117758,6.535457307516795,
15.497273393541883,7.061670409274861,
19.943162084339654,192.25705616879915,
1.8124492399740788,9.210021803044144,
3.4084762307566474,9.104373868597511,
3.7422743418484594,9.214735353444134,
5.749448635117758,9.411318118842482,
15.497273393541883,11.154811605472943,
19.943162084339654,16.313705532267313,
