Solvent Concentration (M),Thermal Conductivity (W/(m·K))
2.1747603652357395,-4.698602871781031,graphene/Poly(BA-a)
10.282639285471625,3.819499609248483,graphene/Poly(BA-a)
15.06647450477357,202.99242208331336,graphene/Poly(BA-a)
16.184762220119733,182.4296531361264,graphene/Poly(BA-a)
19.944509155886706,-12.051096239621897,graphene/Poly(BA-a)
2.9369699296853846,-2.305495903820529,BaTiO3/Poly(BA-a)
6.04803190910088,-0.3517019642932464,BaTiO3/Poly(BA-a)
9.412367694205539,0.0300489146453371,BaTiO3/Poly(BA-a)
9.96293947789529,0.31031879749800595,BaTiO3/Poly(BA-a)
14.85899328908019,-1.4908321487770504,BaTiO3/Poly(BA-a)
