Coefficient Of Thermal Expansion (1/K),Corrosion Rate (mm/year)
0,-1.361185373790705,9-Anthracenemethanol/Poly(ether ether ketone)
4,-1.916437223436259,9-Anthracenemethanol/Poly(ether ether ketone)
7,-2.1119445983265783,9-Anthracenemethanol/Poly(ether ether ketone)
12,-2.2195421921435656,9-Anthracenemethanol/Poly(ether ether ketone)
0,-2.9973071144078376,montmorillonite K-10/Poly(ether ether ketone)
4,-3.530089363705558,montmorillonite K-10/Poly(ether ether ketone)
7,-3.7515546642935194,montmorillonite K-10/Poly(ether ether ketone)
12,-3.8471129315340558,montmorillonite K-10/Poly(ether ether ketone)
0,-0.2435595693520871,Zirconium dioxide/Poly(ether ether ketone)
4,1.32726935532917,Zirconium dioxide/Poly(ether ether ketone)
7,0.9557536263687338,Zirconium dioxide/Poly(ether ether ketone)
12,-0.5537934984232362,Zirconium dioxide/Poly(ether ether ketone)
0,-5.413701862533175,CCTO ceramics/Poly(ether ether ketone)
4,-4.28876115793282,CCTO ceramics/Poly(ether ether ketone)
7,-3.6640095018951735,CCTO ceramics/Poly(ether ether ketone)
12,-2.245367463378,CCTO ceramics/Poly(ether ether ketone)
0,4.05461662001257,aluminum/Poly(ether ether ketone)
4,3.1837451332542197,aluminum/Poly(ether ether ketone)
7,2.971078940951687,aluminum/Poly(ether ether ketone)
12,2.9096434404823723,aluminum/Poly(ether ether ketone)
