Drying Time (h),Corrosion Rate (mm/year)
1,8.379860337290943,Alumina/Cyclic olefin copolymer
6,12.328317219136077,Alumina/Cyclic olefin copolymer
9,24.875125627252523,Alumina/Cyclic olefin copolymer
14,28.160012617301696,Alumina/Cyclic olefin copolymer
19,677.7195353823715,Alumina/Cyclic olefin copolymer
1,-2.8696179250943255,ZnO/Cyclic olefin copolymer
6,-3.4169889862826794,ZnO/Cyclic olefin copolymer
9,-3.5231999489100723,ZnO/Cyclic olefin copolymer
14,-3.577641140886666,ZnO/Cyclic olefin copolymer
19,-3.589258480198109,ZnO/Cyclic olefin copolymer
1,-2.6869877924738903,cellulose nanocrystals/Cyclic olefin copolymer
6,-3.098000255912557,cellulose nanocrystals/Cyclic olefin copolymer
9,-3.2825990488733496,cellulose nanocrystals/Cyclic olefin copolymer
14,-3.371535906190879,cellulose nanocrystals/Cyclic olefin copolymer
19,-3.4760862943551434,cellulose nanocrystals/Cyclic olefin copolymer
