Calcination Time (h),Crystallization Temperature (°C)
1,4.357453022634109,0.59% Methoxy(dimethyl)octylsilane
6,5.582087262846025,0.59% Methoxy(dimethyl)octylsilane
10,5.500557611620202,0.59% Methoxy(dimethyl)octylsilane
11,8.792104078626139,0.59% Methoxy(dimethyl)octylsilane
18,5.450020615383288,0.59% Methoxy(dimethyl)octylsilane
2,-1.8910790028482376,0.38% Methoxy(dimethyl)octylsilane
3,-1.7711451942638923,0.38% Methoxy(dimethyl)octylsilane
8,1.9194439772450282,0.38% Methoxy(dimethyl)octylsilane
14,63.16065441988849,0.38% Methoxy(dimethyl)octylsilane
15,252.1594474771927,0.38% Methoxy(dimethyl)octylsilane
1.1089517974329555,7.078763191903103,0.04% Methoxy(dimethyl)octylsilane
6.344176640152083,6.4991789566710185,0.04% Methoxy(dimethyl)octylsilane
6.932510297434414,6.472597768183748,0.04% Methoxy(dimethyl)octylsilane
7.235210582546639,6.468154340936204,0.04% Methoxy(dimethyl)octylsilane
8.709624983306268,6.426401254016741,0.04% Methoxy(dimethyl)octylsilane
