Crystallinity (%),Electrochemical Potential (V)
3,9.017823647548703,0.34% PbS/Poly(butylene terephthalate)
5,9.987578811102638,0.34% PbS/Poly(butylene terephthalate)
8,13.923717327100478,0.34% PbS/Poly(butylene terephthalate)
15,74.62395718095331,0.34% PbS/Poly(butylene terephthalate)
16,62.49850715024755,0.34% PbS/Poly(butylene terephthalate)
3,4.6440680568784,0.13% PbS/Poly(butylene terephthalate)
5,4.408035362485177,0.13% PbS/Poly(butylene terephthalate)
8,11.948573259717119,0.13% PbS/Poly(butylene terephthalate)
15,213.70065327947273,0.13% PbS/Poly(butylene terephthalate)
16,213.01918009514677,0.13% PbS/Poly(butylene terephthalate)
