Time (s),Specific Heat (J/(g·K))
2.204336484028795,4.519938186571861,0.45% Sodium titanate nanotubes
12.290460296353986,4.113161216720102,0.45% Sodium titanate nanotubes
13.766246713732603,4.1031421952266145,0.45% Sodium titanate nanotubes
18.41131314795303,4.092087603659827,0.45% Sodium titanate nanotubes
18.457746127979654,4.091929581851796,0.45% Sodium titanate nanotubes
2.204336484028795,8.464519960470694,0.12% Sodium titanate nanotubes
12.290460296353986,7.844154635258331,0.12% Sodium titanate nanotubes
13.766246713732603,7.811470961073629,0.12% Sodium titanate nanotubes
18.41131314795303,7.6927937120182595,0.12% Sodium titanate nanotubes
18.457746127979654,7.702125510074427,0.12% Sodium titanate nanotubes
