Filler Content (%),Complex Modulus (Pa)
5.267061722102602,-2.365620800168771,CuPP/Poly(ethylene glycol)
5.549599293889105,-5.198730290828766,CuPP/Poly(ethylene glycol)
7.360774382858248,3.0485007000476276,CuPP/Poly(ethylene glycol)
11.546838424234608,26.521990142273058,CuPP/Poly(ethylene glycol)
15.202505675555214,255.4466962149205,CuPP/Poly(ethylene glycol)
5.267061722102602,-6.208042998422357,Graphite oxide/Poly(ethylene glycol)
5.549599293889105,-6.216354595147647,Graphite oxide/Poly(ethylene glycol)
7.360774382858248,-6.288073883339883,Graphite oxide/Poly(ethylene glycol)
11.546838424234608,-6.477953988610626,Graphite oxide/Poly(ethylene glycol)
15.202505675555214,-6.585571126751438,Graphite oxide/Poly(ethylene glycol)
