Reaction Time (h),Bet Surface Area
3.2281926143085893,-4.715855848432959,0.56% graphene oxide
3.6269022991246636,-4.866300532305411,0.56% graphene oxide
15.246820411394753,1.731282785628144,0.56% graphene oxide
16.794214882038858,-3.951440831676779,0.56% graphene oxide
19.386619173656364,-7.964859935841361,0.56% graphene oxide
3.2281926143085893,9.039146448500704,0.7% graphene oxide
3.6269022991246636,7.995964846648272,0.7% graphene oxide
15.246820411394753,12.78742825634922,0.7% graphene oxide
16.794214882038858,6.5937110089485875,0.7% graphene oxide
19.386619173656364,-2.2166170040206143,0.7% graphene oxide
3.2281926143085893,-6.585538243810602,0.88% graphene oxide
3.6269022991246636,-6.492842092238829,0.88% graphene oxide
15.246820411394753,-6.885830296893124,0.88% graphene oxide
16.794214882038858,-6.8895926730073365,0.88% graphene oxide
19.386619173656364,-6.892922646792418,0.88% graphene oxide
3.2281926143085893,-0.9638149154333314,0.24% graphene oxide
3.6269022991246636,-0.1557548371414854,0.24% graphene oxide
15.246820411394753,1.2632785320290045,0.24% graphene oxide
16.794214882038858,1.5205458648052965,0.24% graphene oxide
19.386619173656364,10.389370040256058,0.24% graphene oxide
3.2281926143085893,7.927662433951487,0.36% graphene oxide
3.6269022991246636,7.898170247962399,0.36% graphene oxide
15.246820411394753,7.738851618820949,0.36% graphene oxide
16.794214882038858,15.656109750037036,0.36% graphene oxide
19.386619173656364,2.3225651706770334,0.36% graphene oxide
