Calcination Time (h),Particle Size (nm)
5,4.95048661629569,0.25% Paraffinum liquidum
9,4.775183296304276,0.25% Paraffinum liquidum
11,4.744975166543163,0.25% Paraffinum liquidum
5,2.6743511658723738,0.05% Paraffinum liquidum
9,6.502568633799246,0.05% Paraffinum liquidum
11,5.047241514507199,0.05% Paraffinum liquidum
5,-0.8117694679134981,0.49% Paraffinum liquidum
9,10.908297760257751,0.49% Paraffinum liquidum
11,-5.958359089590081,0.49% Paraffinum liquidum
5,-1.3912526087115662,0.84% Paraffinum liquidum
9,-1.5336325581988606,0.84% Paraffinum liquidum
11,-1.5630688981755374,0.84% Paraffinum liquidum
5,8.613112479862934,0.27% Paraffinum liquidum
9,21.72028531891245,0.27% Paraffinum liquidum
11,18.73697043005165,0.27% Paraffinum liquidum
