Thickness (µm),Reduction Potential (V)
7,7.13886403330319,multi-walled carbon nanotube/PAM
12,7.700141542494718,multi-walled carbon nanotube/PAM
15,3.117153334593027,multi-walled carbon nanotube/PAM
18,4.926758357621872,multi-walled carbon nanotube/PAM
0,5.214730256304367,SAF/PAM
1,5.942801149144898,SAF/PAM
10,37.334892186125316,SAF/PAM
15,114.34252580121473,SAF/PAM
2,-1.1833126043022375,silicon dioxide/PAM
3,-1.2825643904395503,silicon dioxide/PAM
11,-1.7076348158619805,silicon dioxide/PAM
15,-1.7333291088427547,silicon dioxide/PAM
1,1.3812445543796303,Aluminium dioxide/PAM
3,1.4429724078287243,Aluminium dioxide/PAM
15,4.86704937167533,Aluminium dioxide/PAM
19,10.369837975268682,Aluminium dioxide/PAM
