Pressure (Pa),Remanence (A/m)
1,6.312418984808985,0.61% Organophilic clay
10,5.693198845313129,0.61% Organophilic clay
13,5.593017506880464,0.61% Organophilic clay
14,5.5792436529161575,0.61% Organophilic clay
17,5.5152290078211355,0.61% Organophilic clay
19,5.485121063059069,0.61% Organophilic clay
1,8.626153261606325,0.15% Organophilic clay
10,10.401061565852025,0.15% Organophilic clay
13,3.4308619936083575,0.15% Organophilic clay
14,12.041597040066414,0.15% Organophilic clay
17,11.267090041222325,0.15% Organophilic clay
19,17.488969936862784,0.15% Organophilic clay
1,-6.182710682155786,0.65% Organophilic clay
10,-6.648409580093163,0.65% Organophilic clay
13,-6.781209243758965,0.65% Organophilic clay
14,-6.801152397438026,0.65% Organophilic clay
17,-6.871784641905657,0.65% Organophilic clay
19,-6.888535664715344,0.65% Organophilic clay
