filler labels,Zero-shear Viscosity (Pa·s)
2.456668589787714,4.5429545047566275,Poly-trifluoroethylene
3.6765289144375934,3.9882224463727147,Poly-trifluoroethylene
8.568129124873249,9.150761609267548,Poly-trifluoroethylene
14.08842272295524,129.14109713301283,Poly-trifluoroethylene
17.03808343731792,381.95002848306353,Poly-trifluoroethylene
2.456668589787714,5.528238546705559,PEEK
3.6765289144375934,6.0332909141919195,PEEK
8.568129124873249,9.070254546915873,PEEK
14.08842272295524,10.485651510196375,PEEK
17.03808343731792,7.095023599983753,PEEK
2.456668589787714,3.167298500814607,PTFE
3.6765289144375934,5.798924294800309,PTFE
8.568129124873249,4.882199976483207,PTFE
14.08842272295524,72.91292124522292,PTFE
17.03808343731792,149.1703020203321,PTFE
2.456668589787714,-0.20008916727429105,Unsaturated polyester resin
3.6765289144375934,1.3769460545655772,Unsaturated polyester resin
8.568129124873249,9.61700436192477,Unsaturated polyester resin
14.08842272295524,-15.239432636166947,Unsaturated polyester resin
17.03808343731792,254.14603240522504,Unsaturated polyester resin
2.456668589787714,-2.5960802070498397,PMS
3.6765289144375934,-2.286557311827163,PMS
8.568129124873249,-1.9116906681969184,PMS
14.08842272295524,79.20804710397276,PMS
17.03808343731792,114.97412204216874,PMS
