Magnetic Field Strength (T),Shear Modulus (GPa)
8.772254364320766,-0.5099916740622888,0.13% Ag
9.262236415880892,-0.4913828901690813,0.13% Ag
10.709507474158448,-0.5205404017313682,0.13% Ag
17.70992040502247,-0.7341341498511612,0.13% Ag
18.402864633468457,-0.7494485655944602,0.13% Ag
8.772254364320766,5.319836957082134,0.79% Ag
9.262236415880892,5.0827706501675065,0.79% Ag
10.709507474158448,4.626659804184797,0.79% Ag
17.70992040502247,9.51832692900722,0.79% Ag
18.402864633468457,13.454298378683914,0.79% Ag
8.772254364320766,-0.8765691035656495,0.7% Ag
9.262236415880892,-0.886994081025216,0.7% Ag
10.709507474158448,-0.9102358724545763,0.7% Ag
17.70992040502247,-0.9445244615457209,0.7% Ag
18.402864633468457,-0.9457102147051278,0.7% Ag
8.772254364320766,5.606987433220178,0.5% Ag
9.262236415880892,5.485129389747543,0.5% Ag
10.709507474158448,5.508032999496649,0.5% Ag
17.70992040502247,5.344604141193573,0.5% Ag
18.402864633468457,5.333052744407461,0.5% Ag
