Particle Diameter (nm),Particle Size (nm)
0,0.21374728418759747,0.4% graphene platelets/CNBR
6,1.6559388517895113,0.4% graphene platelets/CNBR
8,0.7557445424800298,0.4% graphene platelets/CNBR
10,3.669518244307417,0.4% graphene platelets/CNBR
11,2.396290513375943,0.4% graphene platelets/CNBR
18,10.437282238939401,0.4% graphene platelets/CNBR
0,6.1244606859871515,0.68% graphene platelets/CNBR
3,5.529699903501708,0.68% graphene platelets/CNBR
5,5.2358273770105,0.68% graphene platelets/CNBR
13,5.0365826568573535,0.68% graphene platelets/CNBR
14,5.031688024526949,0.68% graphene platelets/CNBR
18,5.020095076911509,0.68% graphene platelets/CNBR
