Holding Time (min),Reduction Potential (V)
4.312900088696412,7.0441232723331515,Cyclic olefin copolymer
6.063172471041984,6.874653590895847,Cyclic olefin copolymer
8.304688957836674,6.788799747702541,Cyclic olefin copolymer
16.441283094613375,6.626891945963814,Cyclic olefin copolymer
4.312900088696412,-3.2272513530851032,PEO
6.063172471041984,-3.3646669562156837,PEO
8.304688957836674,-3.447313967313473,PEO
16.441283094613375,-3.529173520484617,PEO
4.312900088696412,7.072609401506653,Polyimide
6.063172471041984,7.0392217031851505,Polyimide
8.304688957836674,11.816143982292237,Polyimide
16.441283094613375,11.104981692532126,Polyimide
4.312900088696412,-3.975951427053266,PAM
6.063172471041984,-2.792689221648809,PAM
8.304688957836674,-4.33033212817453,PAM
16.441283094613375,1.3136879505965213,PAM
4.312900088696412,6.70438584009456,Poly(2-vinyl pyridine)
6.063172471041984,6.600031311553666,Poly(2-vinyl pyridine)
8.304688957836674,6.58727390427394,Poly(2-vinyl pyridine)
16.441283094613375,6.32896126503385,Poly(2-vinyl pyridine)
