Heat Treatment Temperature (°C),Porosity (%)
3,-4.759749468142145,0.13% Ba0.7Sr0.3TiO3
6,-5.814067987637461,0.13% Ba0.7Sr0.3TiO3
14,0.9001566667830314,0.13% Ba0.7Sr0.3TiO3
15,3.647778895141437,0.13% Ba0.7Sr0.3TiO3
19,2.5820088051307764,0.13% Ba0.7Sr0.3TiO3
3,6.182324909726966,0.12% Ba0.7Sr0.3TiO3
6,5.94317784116344,0.12% Ba0.7Sr0.3TiO3
14,5.683587310327553,0.12% Ba0.7Sr0.3TiO3
15,5.6406994217009245,0.12% Ba0.7Sr0.3TiO3
19,5.580748286532678,0.12% Ba0.7Sr0.3TiO3
3,-1.518107833041737,0.9% Ba0.7Sr0.3TiO3
6,2.57947338428841,0.9% Ba0.7Sr0.3TiO3
14,-39.415376156783395,0.9% Ba0.7Sr0.3TiO3
15,117.53559238715565,0.9% Ba0.7Sr0.3TiO3
19,496.81982170188894,0.9% Ba0.7Sr0.3TiO3
3,-5.723135955834962,0.65% Ba0.7Sr0.3TiO3
6,0.43448217096822717,0.65% Ba0.7Sr0.3TiO3
14,77.10571881295498,0.65% Ba0.7Sr0.3TiO3
15,177.79865959623967,0.65% Ba0.7Sr0.3TiO3
19,505.66162743813226,0.65% Ba0.7Sr0.3TiO3
