Shear Rate (1/s),Magnetization (A/m)
0,3.206349762508734,0.61% Au
5,2.6010041393174297,0.61% Au
9,2.3567166955816474,0.61% Au
4.035908702754412,-0.9185388418452475,0.82% Au
12.0300263672137,-1.2022372588358323,0.82% Au
18.586301154480644,-1.2242203534701446,0.82% Au
7,16.812822583925737,0.93% Au
15,242.74360466679676,0.93% Au
17,167.16226555566612,0.93% Au
4.3463133237134315,4.613150634157868,0.06% Au
11.26953152015763,11.628038846436784,0.06% Au
16.559880088309654,203.90945780375537,0.06% Au
10,2.86729901966573,0.38% Au
13,2.8383445304272423,0.38% Au
17,2.8231710183477663,0.38% Au
