Magnetic Field Strength (T),Thermal Resistance (K/W)
6,-6.759706256397681,Carbon nanofibers/COC
8,-6.898681640910249,Carbon nanofibers/COC
18,-7.1851207219517885,Carbon nanofibers/COC
6,6.691111839243655,Single-wall carbon nanotubes/COC
8,6.607567330741785,Single-wall carbon nanotubes/COC
18,6.526059862881737,Single-wall carbon nanotubes/COC
6,7.787385432692567,graphene platelet/COC
8,11.466546212944342,graphene platelet/COC
18,-7.632883803609136,graphene platelet/COC
6,9.382101198122612,Single-wall carbon nanotubes/COC
8,11.69704938093615,Single-wall carbon nanotubes/COC
18,10.305892033168405,Single-wall carbon nanotubes/COC
