Calcination Temperature (°C),Magnetic Permeability (H/m)
7.44731129678655,7.9016520795139,iPP
7.953662702093103,7.894191093479195,iPP
10.077608348492518,7.898166290412116,iPP
12.217632321301501,6.923022129034378,iPP
14.229075840176662,11.839229113938735,iPP
17.17421909105982,9.48225887507164,iPP
7.44731129678655,-4.71681033661479,PMMA
7.953662702093103,-4.762760452658512,PMMA
10.077608348492518,-4.881908744536954,PMMA
12.217632321301501,-4.970086624210991,PMMA
14.229075840176662,-4.987720043841001,PMMA
17.17421909105982,-5.057425148489269,PMMA
