Aging Time (h),Complex Viscosity (Pa·s)
6.24015630007225,7.564169481150398,Nylon 6
6.741921191066238,7.029256658543865,Nylon 6
8.0382880824315,8.338511559445408,Nylon 6
19.811084353206375,11.150930173485634,Nylon 6
6.24015630007225,-2.0425251750255455,PEEK
6.741921191066238,-1.2723588760909723,PEEK
8.0382880824315,-2.1957330107381057,PEEK
19.811084353206375,-3.1944465499507606,PEEK
6.24015630007225,-6.402978309982384,PBD
6.741921191066238,-6.439207822661552,PBD
8.0382880824315,-6.4733017925153415,PBD
19.811084353206375,-6.564502132847046,PBD
6.24015630007225,4.540336133015265,PEO
6.741921191066238,3.9732500202574155,PEO
8.0382880824315,6.328951857479028,PEO
19.811084353206375,8.626598341703012,PEO
