Volume Fraction (%),Particle Size (nm)
6.411266593165845,-4.3541419169863245,BECy
9.518837384021117,-4.376927683793972,BECy
11.234392717496382,-4.425858952294989,BECy
11.434258840364333,-4.452963686859844,BECy
19.76244108881779,-4.639115483754664,BECy
6.411266593165845,12.260108405464972,PBTP
9.518837384021117,33.68018407566743,PBTP
11.234392717496382,32.970036336243254,PBTP
11.434258840364333,49.385156032033485,PBTP
19.76244108881779,716.1536801721752,PBTP
6.411266593165845,3.985140668394356,Poly(butyl acrylate)
9.518837384021117,3.8846843003362035,Poly(butyl acrylate)
11.234392717496382,3.862819203255278,Poly(butyl acrylate)
11.434258840364333,3.8602841475267144,Poly(butyl acrylate)
19.76244108881779,3.829402126264031,Poly(butyl acrylate)
6.411266593165845,10.406338885345075,IMPP
9.518837384021117,29.550988957400055,IMPP
11.234392717496382,20.438539741122344,IMPP
11.434258840364333,47.719938516854256,IMPP
19.76244108881779,955.7692559707384,IMPP
