Melting Temperature (°C),Electrochemical Potential (V)
3.437442981397034,-2.7804596341844854,Graphite/P(Baph)
5.306615301891997,-2.426909578705808,Graphite/P(Baph)
6.220809819649704,-0.4908616546109199,Graphite/P(Baph)
14.290962989015272,1.8873401646157717,Graphite/P(Baph)
15.076938966100414,11.665444902029318,Graphite/P(Baph)
3.437442981397034,4.039970650900127,cellulose nanowhiskers/P(Baph)
5.306615301891997,4.127507430275859,cellulose nanowhiskers/P(Baph)
6.220809819649704,4.0822450289704815,cellulose nanowhiskers/P(Baph)
14.290962989015272,3.795860363045627,cellulose nanowhiskers/P(Baph)
15.076938966100414,3.789174090584596,cellulose nanowhiskers/P(Baph)
3.437442981397034,-4.003460653857346,montmorillonite/P(Baph)
5.306615301891997,-3.4464275240714333,montmorillonite/P(Baph)
6.220809819649704,-3.0139954925887324,montmorillonite/P(Baph)
14.290962989015272,2.2899585142054057,montmorillonite/P(Baph)
15.076938966100414,-1.333924060431411,montmorillonite/P(Baph)
3.437442981397034,-0.07796732316349025,SiO2/P(Baph)
5.306615301891997,-0.1893586003538465,SiO2/P(Baph)
6.220809819649704,-0.24933765221300028,SiO2/P(Baph)
14.290962989015272,-0.38840415936331796,SiO2/P(Baph)
15.076938966100414,-0.39223155742874866,SiO2/P(Baph)
