Crystallinity (%),Particle Size Distribution
2.9390430523774613,3.2267309747434503,Poly(ether ether ketone)
6.3669239506216595,5.3321883839743744,Poly(ether ether ketone)
12.41695193713454,40.36421611755287,Poly(ether ether ketone)
14.195212019324227,140.056152713606,Poly(ether ether ketone)
2.9390430523774613,8.893693680465855,Nylon 66
6.3669239506216595,10.059112091369329,Nylon 66
12.41695193713454,9.841305236768878,Nylon 66
14.195212019324227,11.888558022441298,Nylon 66
2.9390430523774613,-3.0202115711665827,Thermoplastic polyurethane
6.3669239506216595,-3.3678394738591635,Thermoplastic polyurethane
12.41695193713454,-3.501475032971061,Thermoplastic polyurethane
14.195212019324227,-3.5138650514522776,Thermoplastic polyurethane
2.9390430523774613,6.438359551731082,Poly(acrylamide)
6.3669239506216595,11.151971898590684,Poly(acrylamide)
12.41695193713454,38.53695925352218,Poly(acrylamide)
14.195212019324227,103.15768808822165,Poly(acrylamide)
2.9390430523774613,11.242191364710425,BR
6.3669239506216595,11.01986662646277,BR
12.41695193713454,81.17321116434921,BR
14.195212019324227,127.27496796091079,BR
