Electron Beam Dose (Gy),X-ray Diffraction Intensity
1.365111016068341,0.9698652768976899,carbon nanofibers/PS-I
7.039575984374702,3.993620504621168,carbon nanofibers/PS-I
7.191361177792894,7.543295990501053,carbon nanofibers/PS-I
13.149492292313429,102.76923432400496,carbon nanofibers/PS-I
1.365111016068341,5.434269836276874,Clay/PS-I
7.039575984374702,4.999396676099538,Clay/PS-I
7.191361177792894,4.992960538222851,Clay/PS-I
13.149492292313429,4.887242306603031,Clay/PS-I
1.365111016068341,-2.3058990461603344,polyaniline/PS-I
7.039575984374702,-2.773983500922527,polyaniline/PS-I
7.191361177792894,-2.855968846071503,polyaniline/PS-I
13.149492292313429,-3.078470847688703,polyaniline/PS-I
1.365111016068341,5.332759868185275,rGO/PS-I
7.039575984374702,12.363909771209837,rGO/PS-I
7.191361177792894,7.373221418851075,rGO/PS-I
13.149492292313429,23.138093375351808,rGO/PS-I
