Crosslinking Density (mol/m³),Melting Temperature (°C)
10.576602740911891,-5.701992183369545,PBuA
16.9061842133545,2.3040147844003114,PBuA
18.12309104931937,-2.318656296400263,PBuA
18.38396050890512,-0.08299647127927656,PBuA
18.82468891189363,7.52287064963696,PBuA
1,1.3622999269826674,PBS
6,2.2746893270477364,PBS
8,0.921974936977112,PBS
15,6.455042774326004,PBS
16,15.949669798268394,PBS
0,-5.708750055312346,TPU
2,-4.825518014820509,TPU
11,37.009602811149364,TPU
16,88.83189931093528,TPU
19,399.0474053951111,TPU
0,5.506114785928804,PMS
3,7.572340482976413,PMS
5,9.399305493277808,PMS
11,31.75096944787566,PMS
18,3.290756533534166,PMS
4.8541268770223915,0.19213079801179367,BXZ
11.936551446589032,18.1065049333287,BXZ
13.351031119280691,16.10648119970829,BXZ
15.794839521415911,261.6832633344639,BXZ
19.974473452217477,974.7861113856592,BXZ
