wt%,Fracture Toughness (MPa·m^0.5)
2,-5.088876139579847,TiNTs/S-SBR
6,-5.39098221409139,TiNTs/S-SBR
14,-5.687196846609074,TiNTs/S-SBR
18,-5.762077524682396,TiNTs/S-SBR
2,-2.540343185229698,TiNTs/S-SBR
6,-2.5729308769569146,TiNTs/S-SBR
14,-2.897864971021813,TiNTs/S-SBR
18,-2.9834619337238877,TiNTs/S-SBR
2,8.445604784406697,Barium strontium titanate/S-SBR
6,11.972763641037329,Barium strontium titanate/S-SBR
14,58.24348074840274,Barium strontium titanate/S-SBR
18,790.8394561605536,Barium strontium titanate/S-SBR
2,9.542579980684426,Calcium Carbonate/S-SBR
6,11.41827922528464,Calcium Carbonate/S-SBR
14,63.10155352182184,Calcium Carbonate/S-SBR
18,427.19756021685674,Calcium Carbonate/S-SBR
2,0.6106494218133935,SWCNTs/S-SBR
6,2.102194996284646,SWCNTs/S-SBR
14,4.727279317592845,SWCNTs/S-SBR
18,-0.280820789696131,SWCNTs/S-SBR
