Temperature (°C),Electrochemical Potential (V)
3.4110308528602573,4.728736962803259,0.89% single-walled CNT/Poly(BA-a)
16.390092886773594,4.321858696244521,0.89% single-walled CNT/Poly(BA-a)
17.19565304083198,4.320389629384735,0.89% single-walled CNT/Poly(BA-a)
19.406746329630305,4.31744912828436,0.89% single-walled CNT/Poly(BA-a)
3.4110308528602573,8.521701054696194,0.63% single-walled CNT/Poly(BA-a)
16.390092886773594,12.237139615256151,0.63% single-walled CNT/Poly(BA-a)
17.19565304083198,9.981233814342247,0.63% single-walled CNT/Poly(BA-a)
19.406746329630305,12.806432408556425,0.63% single-walled CNT/Poly(BA-a)
3.4110308528602573,4.470707478780245,0.8% single-walled CNT/Poly(BA-a)
16.390092886773594,181.5045406574907,0.8% single-walled CNT/Poly(BA-a)
17.19565304083198,583.4204665199261,0.8% single-walled CNT/Poly(BA-a)
19.406746329630305,472.66836839086295,0.8% single-walled CNT/Poly(BA-a)
