Magnetic Field Strength (T),Flexural Modulus (GPa)
2,6.264476430148747,dodecylbenzene sulfonic acid/Nylon 6T
9,6.355757396005984,dodecylbenzene sulfonic acid/Nylon 6T
14,17.00965902302451,dodecylbenzene sulfonic acid/Nylon 6T
2,7.7345595778568015,Silicon carbide/Nylon 6T
9,7.431216665717685,Silicon carbide/Nylon 6T
14,12.083775377413692,Silicon carbide/Nylon 6T
2,8.860079551139194,Cu(HO3PC6H5)2/Nylon 6T
9,8.360609486067396,Cu(HO3PC6H5)2/Nylon 6T
14,8.233251786384447,Cu(HO3PC6H5)2/Nylon 6T
2,-2.847291435559071,multi-walled CNT/Nylon 6T
9,-3.376736913149335,multi-walled CNT/Nylon 6T
14,-3.421421395873757,multi-walled CNT/Nylon 6T
