Thermal Conductivity (W/(m·K)),Glass Transition Temperature (°C)
1.20713648952266,-1.7447001343099715,
16.251963939674432,-2.600212982742718,
18.115952757715867,-2.6041630675808247,
19.81981423194587,-2.605898130941033,
1.20713648952266,4.871270502027679,
16.251963939674432,4.145616392016321,
18.115952757715867,4.14245623095498,
19.81981423194587,4.140597947777656,
1.20713648952266,6.573720962919243,
16.251963939674432,64.48830110323864,
18.115952757715867,454.9493338841035,
19.81981423194587,319.14428163774255,
1.20713648952266,-5.05510511336005,
16.251963939674432,-6.034595114388851,
18.115952757715867,-6.064574094311404,
19.81981423194587,-6.087155134317311,
1.20713648952266,5.306083623206151,
16.251963939674432,239.03118487128967,
18.115952757715867,399.8929616111598,
19.81981423194587,613.7636913841878,
