Particle Density,Kinematic Viscosity (mm²/s)
7,7.364723104646569,0.12% cellulose nanowhiskers
9,7.322165973228049,0.12% cellulose nanowhiskers
10,7.2655773287884475,0.12% cellulose nanowhiskers
15,7.113597642695027,0.12% cellulose nanowhiskers
18,7.079480539903629,0.12% cellulose nanowhiskers
7,-4.460858742724282,0.81% cellulose nanowhiskers
9,-3.5270580480841613,0.81% cellulose nanowhiskers
10,-2.3410115856255826,0.81% cellulose nanowhiskers
15,-2.6373013305117414,0.81% cellulose nanowhiskers
18,11.731786772347812,0.81% cellulose nanowhiskers
