Thermal Diffusivity (mm²/s),Elastic Modulus (GPa)
3.9122862932935476,4.4101798204522025,Paraffin oil/PRX
7.980513165629004,13.317552223949265,Paraffin oil/PRX
10.478863040034465,17.368475513282775,Paraffin oil/PRX
15.203912760258058,-27.146691011374635,Paraffin oil/PRX
16.17962065810364,54.560178317306104,Paraffin oil/PRX
1.9511530664333798,-5.229593538168443,Paraffinum liquidum/PRX
2.423115276999519,-5.3017388731704616,Paraffinum liquidum/PRX
10.831970127587763,-4.533084999481215,Paraffinum liquidum/PRX
15.81405530513895,2.535561801229745,Paraffinum liquidum/PRX
16.24881793763872,0.5819793962862994,Paraffinum liquidum/PRX
