Specific Surface Area (m²/g),Fracture Toughness (MPa·m^0.5)
5,-5.933427598112247,DGEBF
7,-6.046829931022615,DGEBF
12,-6.271316094929293,DGEBF
13,-6.290019470862973,DGEBF
14,-6.338287979717727,DGEBF
5,-3.1625378429378994,BR
7,-3.3582465551340723,BR
12,-3.4608490938449616,BR
13,-3.471267387127135,BR
14,-3.5099697327337536,BR
5,1.704312204743713,Polystyrene
7,1.6779835755413894,Polystyrene
12,1.4628133344152694,Polystyrene
13,1.417419608462815,Polystyrene
14,1.4400754182713953,Polystyrene
