Polymer Molecular Weight (g/mol),Hardness (HV)
7,8.930044972297246,Nylon 6(3)T
10,21.389391599589118,Nylon 6(3)T
12,64.13401390340441,Nylon 6(3)T
13,73.70639991750014,Nylon 6(3)T
17,-146.2852466577131,Nylon 6(3)T
19,292.19615442565316,Nylon 6(3)T
7,-4.455720842349617,Poly(ethylene)
10,-4.6581835892315935,Poly(ethylene)
12,-4.653517879450018,Poly(ethylene)
13,-4.735437902209622,Poly(ethylene)
17,-4.839401116103381,Poly(ethylene)
19,-4.853640938729064,Poly(ethylene)
7,-5.848534123707477,Nylon 6T
10,-5.005292443508412,Nylon 6T
12,-2.4839916426096407,Nylon 6T
13,-4.082955355398134,Nylon 6T
17,-6.9116507251418255,Nylon 6T
19,5.21530595800097,Nylon 6T
7,8.072321553805565,PBTP
10,9.965557659665816,PBTP
12,13.046659297188357,PBTP
13,10.835427130395615,PBTP
17,10.904032784883604,PBTP
19,1.4310307067908408,PBTP
