Melting Temperature (°C),Magnetic Permeability (H/m)
1.5608253766360058,-1.9267882467297766,0.68% Silver/Poly(ethylene)
2.886354380822511,-2.1631579619549766,0.68% Silver/Poly(ethylene)
13.13222123815742,81.65651141636901,0.68% Silver/Poly(ethylene)
14.164320151058224,27.241740282402077,0.68% Silver/Poly(ethylene)
19.2399408629875,27.133738209840963,0.68% Silver/Poly(ethylene)
1.5608253766360058,-1.7895591987788433,0.58% Silver/Poly(ethylene)
2.886354380822511,-1.251620519324744,0.58% Silver/Poly(ethylene)
13.13222123815742,93.60729246771518,0.58% Silver/Poly(ethylene)
14.164320151058224,137.71245088259815,0.58% Silver/Poly(ethylene)
19.2399408629875,517.6561132814161,0.58% Silver/Poly(ethylene)
1.5608253766360058,8.883013405768958,0.47% Silver/Poly(ethylene)
2.886354380822511,8.854098643268816,0.47% Silver/Poly(ethylene)
13.13222123815742,119.50144641210957,0.47% Silver/Poly(ethylene)
14.164320151058224,12.098043961944027,0.47% Silver/Poly(ethylene)
19.2399408629875,531.2308585515073,0.47% Silver/Poly(ethylene)
1.5608253766360058,3.8160907916388407,0.11% Silver/Poly(ethylene)
2.886354380822511,4.225160653598143,0.11% Silver/Poly(ethylene)
13.13222123815742,10.679799082792782,0.11% Silver/Poly(ethylene)
14.164320151058224,8.35956784711794,0.11% Silver/Poly(ethylene)
19.2399408629875,4.247807649939488,0.11% Silver/Poly(ethylene)
