UV Exposure Time (h),Thermal Stability (°C)
0.33116414433864927,-2.48047957180403,0.07% Graphene oxide
8.79860855775881,-2.9789182493257216,0.07% Graphene oxide
10.703648366786414,-3.0362174803007385,0.07% Graphene oxide
12.55569566404997,-3.093516107036262,0.07% Graphene oxide
16.827496763975894,-3.195092946733767,0.07% Graphene oxide
0.33116414433864927,-5.800833105384447,0.27% Graphene oxide
8.79860855775881,-6.187070615845508,0.27% Graphene oxide
10.703648366786414,-4.5574058624476255,0.27% Graphene oxide
12.55569566404997,0.1809134937633754,0.27% Graphene oxide
16.827496763975894,-1.7769681529385641,0.27% Graphene oxide
