Dispersing Time (min),Peel Strength (N/m)
4,2.0520354812601678,PBA-a
8,2.611942580396785,PBA-a
12,0.5285650713377743,PBA-a
15,-1.085170670035935,PBA-a
3.6211535225073854,0.04695355955800373,Poly(bisphenol A carbonate)
7.360823201104568,6.142722833342718,Poly(bisphenol A carbonate)
17.12619313249062,-17.17861375214818,Poly(bisphenol A carbonate)
19.65811664471322,-49.606063086213766,Poly(bisphenol A carbonate)
4,-7.069901985919418,E-SBR
12,-7.359293199182095,E-SBR
14,-7.373051636389884,E-SBR
16,-7.381318489893231,E-SBR
