Film Thickness (µm),Magnetoresistance
9,-0.192008348255691,0.44% Al2O3/PS-I
10,-0.2139784598551281,0.44% Al2O3/PS-I
12,-0.233560325214531,0.44% Al2O3/PS-I
16,-0.25478937825830783,0.44% Al2O3/PS-I
18,-0.2581640221101784,0.44% Al2O3/PS-I
9,-1.5937871042405933,0.18% Al2O3/PS-I
10,-1.6186745692798288,0.18% Al2O3/PS-I
12,-1.6911579483231898,0.18% Al2O3/PS-I
16,-1.8052986924518122,0.18% Al2O3/PS-I
18,-1.8388414826647457,0.18% Al2O3/PS-I
9,24.479191337110894,0.52% Al2O3/PS-I
10,-0.7261872083023206,0.52% Al2O3/PS-I
12,5.149854714416513,0.52% Al2O3/PS-I
16,18.533006621674627,0.52% Al2O3/PS-I
18,111.95083560925488,0.52% Al2O3/PS-I
9,-0.6326898098241471,0.56% Al2O3/PS-I
10,-0.6064138378622992,0.56% Al2O3/PS-I
12,-0.7320955142551466,0.56% Al2O3/PS-I
16,-0.8024577421066416,0.56% Al2O3/PS-I
18,-0.8602018885058058,0.56% Al2O3/PS-I
