Reaction Temperature (°C),Magnetic Susceptibility
7.030101926876371,8.417349286817451,
9.071964959018839,8.702063262428547,
19.481924574539896,4.320927765519504,
5,7.073329242537031,
13,6.799252844683861,
19,6.681038229094172,
14.761477625209414,137.53235007835465,
16.113766855403377,81.06633054088199,
17.664414544291176,231.00539226190799,
3.18414653839048,-2.875552313289888,
8.77021792010523,-1.2124835662173736,
17.20756202640204,9.111329446478084,
8,3.16160851435761,
10,3.106898097476622,
16,2.9533724421768097,
