X-ray Dose (Gy),Complex Viscosity (Pa·s)
5,-0.5862849883472487,Nylon 11
12,-0.9601482451224099,Nylon 11
13,-0.9401628039111772,Nylon 11
15,-1.0198576423980592,Nylon 11
16,-1.0437840528284774,Nylon 11
5,5.484237594687191,PA 6
12,5.294295817712999,PA 6
13,5.288610810225227,PA 6
15,5.278182461090124,PA 6
16,5.275897276899877,PA 6
5,-7.551550806525796,TGPAP
12,-7.790609975877505,TGPAP
13,-7.79706330581428,TGPAP
15,-7.805388044513263,TGPAP
16,-7.808277195383219,TGPAP
5,-2.1881991033744566,Polyimide
12,-2.458845690003808,Polyimide
13,-2.461318483566851,Polyimide
15,-2.5193082355816276,Polyimide
16,-2.532735938427619,Polyimide
5,7.552140595711925,P(Baph)
12,12.129950854067197,P(Baph)
13,13.472616633064758,P(Baph)
15,8.293471765558197,P(Baph)
16,17.873017343789414,P(Baph)
